id, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
00, 861, 253, 63
01, 2300, 2157, 1523
02, 3310, 5283, 2937
03, 4673, 9953, 4341
04, 5736, 16172, 5777
05, 6954, 23871, 7232
06, 8473, 32563, 8566
07, 10289, 43466, 10064
08, 11789, 55299, 11410
09, 13632, 68853, 12776
10, 836, 257, 61
11, 2706, 3481, 1526
12, 3329, 8426, 2961
13, 4911, 14989, 4378
14, 6328, 23642, 5891
15, 7408, 32803, 7402
16, 8404, 43492, 8577
17, 10568, 56130, 10223
18, 12134, 69106, 11328
19, 13416, 85464, 12863
20, 803, 254, 64
21, 2255, 2064, 1560
22, 3879, 5372, 2950
23, 4615, 9868, 4341
24, 5870, 16318, 5803
25, 7742, 24108, 7189
26, 10246, 33024, 8915
27, 10175, 43289, 9909
28, 11806, 54922, 11311
29, 12889, 67833, 12763

